consent1_next.keys,consent1_next.rt,consent1_next_2.keys,consent1_next_2.rt,key_resp_10.keys,key_resp_10.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials,image_prac1,image_prac2,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,practice_answer.keys,practice_answer.corr,practice_answer.rt,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,key_resp_23.keys,key_resp_23.rt,key_resp_22.keys,key_resp_22.rt,key_resp_17.keys,key_resp_17.rt,key_resp_18.keys,key_resp_18.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,instructions_get_right.thisRepN,instructions_get_right.thisTrialN,instructions_get_right.thisN,instructions_get_right.thisIndex,instructions_get_right.ran,key_resp_4.keys,key_resp_4.rt,click_action.keys,click_action.corr,click_action.rt,action_selection.thisRepN,action_selection.thisTrialN,action_selection.thisN,action_selection.thisIndex,action_selection.ran,resp4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s1_image,s2_image,s3_image,action1,resp4.rt,key_resp_3.keys,key_resp_24.keys,key_resp_24.rt,key_resp_25.keys,key_resp_25.rt,PR_vs_SR.thisRepN,PR_vs_SR.thisTrialN,PR_vs_SR.thisN,PR_vs_SR.thisIndex,PR_vs_SR.ran,trial_num,r1,r1_num,r2,r2_num,r3,r3_num,r4,a1,a2,r5_num,corr_quiz_ans,type_trial_immediate_first,key_resp_8.keys,key_resp_29.keys,key_resp_29.rt,transition_reval_choice.keys,transition_reval_choice.rt,transition_revaluation_round.thisRepN,transition_revaluation_round.thisTrialN,transition_revaluation_round.thisN,transition_revaluation_round.thisIndex,transition_revaluation_round.ran
space,49.0358,y,15.157,1,3.0109,0,0,0,1,1,planet.png,planet.png,basket.png,5b1775aebdf4e10001631c75,001,2022-12-08_09h16.09.398,study3,2021.1.3,Win32,61.03143119,5b1775aebdf4e10001631c75,639196b66de4c8b2f2d051a0,63919d13590cf71e8e14b33e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,2.0365,0,1,1,0,1,planet.png,planet.png,basket.png,5b1775aebdf4e10001631c75,001,2022-12-08_09h16.09.398,study3,2021.1.3,Win32,61.03143119,5b1775aebdf4e10001631c75,639196b66de4c8b2f2d051a0,63919d13590cf71e8e14b33e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5b1775aebdf4e10001631c75,001,2022-12-08_09h16.09.398,study3,2021.1.3,Win32,61.03143119,5b1775aebdf4e10001631c75,639196b66de4c8b2f2d051a0,63919d13590cf71e8e14b33e,a,1,9.1124,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5b1775aebdf4e10001631c75,001,2022-12-08_09h16.09.398,study3,2021.1.3,Win32,61.03143119,5b1775aebdf4e10001631c75,639196b66de4c8b2f2d051a0,63919d13590cf71e8e14b33e,,,,,,,,,space,22.224,space,39.4321,c,11.3088,c,15.0163,b,23.4696,b,14.951,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5b1775aebdf4e10001631c75,001,2022-12-08_09h16.09.398,study3,2021.1.3,Win32,61.03143119,5b1775aebdf4e10001631c75,639196b66de4c8b2f2d051a0,63919d13590cf71e8e14b33e,,,,,,,,,,,,,,,,,,,,,,,,,,space,39.1839,6,1,3.5466,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5b1775aebdf4e10001631c75,001,2022-12-08_09h16.09.398,study3,2021.1.3,Win32,61.03143119,5b1775aebdf4e10001631c75,639196b66de4c8b2f2d051a0,63919d13590cf71e8e14b33e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,compass.png,watch.png,trident.png,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5b1775aebdf4e10001631c75,001,2022-12-08_09h16.09.398,study3,2021.1.3,Win32,61.03143119,5b1775aebdf4e10001631c75,639196b66de4c8b2f2d051a0,63919d13590cf71e8e14b33e,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,3.3023,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5b1775aebdf4e10001631c75,001,2022-12-08_09h16.09.398,study3,2021.1.3,Win32,61.03143119,5b1775aebdf4e10001631c75,639196b66de4c8b2f2d051a0,63919d13590cf71e8e14b33e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,compass.png,watch.png,trident.png,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5b1775aebdf4e10001631c75,001,2022-12-08_09h16.09.398,study3,2021.1.3,Win32,61.03143119,5b1775aebdf4e10001631c75,639196b66de4c8b2f2d051a0,63919d13590cf71e8e14b33e,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2.267,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5b1775aebdf4e10001631c75,001,2022-12-08_09h16.09.398,study3,2021.1.3,Win32,61.03143119,5b1775aebdf4e10001631c75,639196b66de4c8b2f2d051a0,63919d13590cf71e8e14b33e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,tophat.png,tree.png,planet.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5b1775aebdf4e10001631c75,001,2022-12-08_09h16.09.398,study3,2021.1.3,Win32,61.03143119,5b1775aebdf4e10001631c75,639196b66de4c8b2f2d051a0,63919d13590cf71e8e14b33e,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1.8107,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5b1775aebdf4e10001631c75,001,2022-12-08_09h16.09.398,study3,2021.1.3,Win32,61.03143119,5b1775aebdf4e10001631c75,639196b66de4c8b2f2d051a0,63919d13590cf71e8e14b33e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,compass.png,watch.png,trident.png,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5b1775aebdf4e10001631c75,001,2022-12-08_09h16.09.398,study3,2021.1.3,Win32,61.03143119,5b1775aebdf4e10001631c75,639196b66de4c8b2f2d051a0,63919d13590cf71e8e14b33e,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.3301,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5b1775aebdf4e10001631c75,001,2022-12-08_09h16.09.398,study3,2021.1.3,Win32,61.03143119,5b1775aebdf4e10001631c75,639196b66de4c8b2f2d051a0,63919d13590cf71e8e14b33e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,1,train.png,tree.png,planet.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5b1775aebdf4e10001631c75,001,2022-12-08_09h16.09.398,study3,2021.1.3,Win32,61.03143119,5b1775aebdf4e10001631c75,639196b66de4c8b2f2d051a0,63919d13590cf71e8e14b33e,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.2231,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5b1775aebdf4e10001631c75,001,2022-12-08_09h16.09.398,study3,2021.1.3,Win32,61.03143119,5b1775aebdf4e10001631c75,639196b66de4c8b2f2d051a0,63919d13590cf71e8e14b33e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,1,train.png,tree.png,planet.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5b1775aebdf4e10001631c75,001,2022-12-08_09h16.09.398,study3,2021.1.3,Win32,61.03143119,5b1775aebdf4e10001631c75,639196b66de4c8b2f2d051a0,63919d13590cf71e8e14b33e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5b1775aebdf4e10001631c75,001,2022-12-08_09h16.09.398,study3,2021.1.3,Win32,61.03143119,5b1775aebdf4e10001631c75,639196b66de4c8b2f2d051a0,63919d13590cf71e8e14b33e,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0.9836,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5b1775aebdf4e10001631c75,001,2022-12-08_09h16.09.398,study3,2021.1.3,Win32,61.03143119,5b1775aebdf4e10001631c75,639196b66de4c8b2f2d051a0,63919d13590cf71e8e14b33e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,1,window.png,unicorn.png,planet.png,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5b1775aebdf4e10001631c75,001,2022-12-08_09h16.09.398,study3,2021.1.3,Win32,61.03143119,5b1775aebdf4e10001631c75,639196b66de4c8b2f2d051a0,63919d13590cf71e8e14b33e,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.7454,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5b1775aebdf4e10001631c75,001,2022-12-08_09h16.09.398,study3,2021.1.3,Win32,61.03143119,5b1775aebdf4e10001631c75,639196b66de4c8b2f2d051a0,63919d13590cf71e8e14b33e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,1,train.png,tree.png,trident.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5b1775aebdf4e10001631c75,001,2022-12-08_09h16.09.398,study3,2021.1.3,Win32,61.03143119,5b1775aebdf4e10001631c75,639196b66de4c8b2f2d051a0,63919d13590cf71e8e14b33e,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1.2361,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5b1775aebdf4e10001631c75,001,2022-12-08_09h16.09.398,study3,2021.1.3,Win32,61.03143119,5b1775aebdf4e10001631c75,639196b66de4c8b2f2d051a0,63919d13590cf71e8e14b33e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,1,compass.png,watch.png,trident.png,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5b1775aebdf4e10001631c75,001,2022-12-08_09h16.09.398,study3,2021.1.3,Win32,61.03143119,5b1775aebdf4e10001631c75,639196b66de4c8b2f2d051a0,63919d13590cf71e8e14b33e,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.6894,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
